笑っている 2 13.93 
aを見ている 438.547 439.49 白板&ペン（白板前）&A
aを見ている 439.49 440.183 白板&ペン（B所持）&B
aを見ている 440.183 440.661 白板&ペン（白板前）
aを見ている 440.661 442.367 白板&ペン（A所持）&A&B
aを見ている 442.367 455.789 白板&ペン（B所持）&B
aを見ている 455.789 459.934 白板
aを指している 422.55 424.84 白板
aに近い（物） 2 14.52 机
aに近い（物） 14.52 16.77 机&箱
aに近い（物） 16.77 17.4 パスタ（C所持）&机&箱
aに近い（物） 17.4 113.26 机&パスタ（C所持）
aに近い（物） 113.26 163.57 机&パスタ（机右後）
aに近い（物） 163.57 311.389 机
aに近い（物） 316.044 320.014 机
aに近い（物） 323.364 328.411 白板&ペン（C所持）&ペン（白板前）
aに近い（物） 328.411 351.268 白板&ペン（白板前）
aに近い（物） 352.233 356.379 机&パスタ（机左前）
aに近い（物） 412.761 419.721 机
aに近い（物） 421.05 425.896 白板
aに触れている 7.31 11.148 机
aに触れている 11.148 16.76 机
aに触れている 16.76 17.619 机&パスタ（C所持）
aに触れている 17.619 24.648 パスタ（C所持）
aに触れている 24.648 26.208 机&パスタ（C所持）
aに触れている 26.208 112.823 パスタ（C所持）
aに触れている 112.823 129.85 机
aに触れている 152.291 189.281 机
aに触れている 207.771 293.111 机
aに触れている 305.686 306.361 机
aに触れている 323.398 325.116 ペン（C所持）
aに触れている 325.116 326.202 ペン（C所持）&白板
aに触れている 326.202 328.618 ペン（C所持）
aに近い（体同士） 2 4.41 D
aに近い（体同士） 4.885 6.95 B
aに近い（体同士） 6.95 9.641 B&D
aに近い（体同士） 9.641 10.944 B
aに近い（体同士） 13.19 307.58 D
aに近い（体同士） 309.443 312.76 D
aに近い（体同士） 313.656 316.447 D
aに近い（体同士） 316.447 330.711 A&D
aに近い（体同士） 330.711 352.108 A
aに近い（体同士） 352.108 395.67 A&D
aに近い（体同士） 395.67 410.004 A&B&D
aに近い（体同士） 410.004 410.432 A&B
aに近い（体同士） 410.432 415.233 A
aに近い（体同士） 415.233 417.107 A&B
aに近い（体同士） 417.107 419.485 A
aに近い（体同士） 419.485 431.588 A&B&D
aに近い（体同士） 431.588 459.921 A&B
aに近い（手同士） 6.386 6.94 B
aに近い（手同士） 6.94 7.139 B&D
aに近い（手同士） 7.139 9.58 D
aに近い（手同士） 14.145 16.498 D
aに近い（手同士） 112.408 113 D
aに近い（手同士） 130.756 143.79 D
aに近い（手同士） 145.275 150.66 D
aに近い（手同士） 156.782 158.29 D
aに近い（手同士） 163.043 163.573 D
aに近い（手同士） 169.561 176.68 D
aに近い（手同士） 182.15 189.675 D
aに近い（手同士） 214.822 223.03 D
aに近い（手同士） 274.41 274.856 D
aに近い（手同士） 281.162 290.42 D
aに近い（手同士） 309.926 311.03 D
aに近い（手同士） 409.537 410.17 B
aに近い（手同士） 422.051 422.45 A
aに近い（手同士） 424.16 424.91 A
笑っている 706.86 708.613 
笑っている 1081.58 1087.39 
腰を落としている 706.112 843.9 
腰を落としている 850.27 921.53 
うなづいている 623.79 624.18 
うなづいている 676.1 676.888 
