# Scene precison and perplexity along time
0.68,18.63
0.67,20.15
0.65,20.79
0.65,20.86
0.67,20.24
0.70,19.33
0.67,20.29
0.62,21.92
0.57,23.38
0.53,24.38
0.51,24.84
0.53,28.34
0.54,31.78
0.49,33.14
0.44,33.43
0.42,32.21
0.42,31.75
0.41,30.14
0.40,29.54
0.40,29.46
0.39,29.49
0.40,28.68
0.43,26.89
0.48,24.23
0.54,20.94
0.54,20.51
0.48,24.80
0.47,28.14
0.41,31.48
0.36,37.66
0.32,44.23
0.29,49.48
0.27,49.93
0.26,50.73
0.26,51.35
0.25,52.76
0.27,52.75
0.28,52.52
0.29,53.48
0.32,50.37
0.37,43.40
0.44,32.31
0.48,26.91
0.49,20.37
0.48,20.66
0.46,22.05
0.43,23.34
0.40,26.50
0.38,30.47
0.36,31.88
0.37,31.59
0.38,30.99
0.38,30.74
0.38,30.65
0.40,30.27
0.43,29.43
0.47,28.38
0.53,24.92
0.60,20.21
0.68,18.12
0.75,16.94
0.81,15.31
0.86,12.66
0.86,10.27
0.85,10.36
0.83,11.69
0.83,12.03
0.83,11.62
0.82,11.05
0.82,10.59
0.81,10.19
0.81,10.13
0.81,10.17
0.81,10.13
0.81,9.78
0.81,8.83
0.80,8.45
0.79,8.50
0.78,8.79
0.77,9.10
0.77,9.26
0.78,9.26
0.79,9.18
0.80,9.00
0.80,8.79
0.81,8.60
0.82,8.36
0.83,8.08
0.83,7.83
0.84,7.60
0.84,7.53
0.84,7.32
0.85,7.18
0.84,8.71
0.80,11.15
0.76,12.42
0.70,13.69
0.69,14.13
0.67,14.53
0.64,14.92
0.63,15.10
0.62,15.12
0.62,14.69
0.67,13.53
0.81,11.72
0.90,10.56
0.95,8.42
0.96,8.33
0.96,8.29
0.96,8.13
0.92,10.69
0.91,10.88
0.90,10.80
0.89,10.86
0.87,11.06
0.83,11.46
0.79,12.33
0.79,12.26
0.81,12.03
0.83,11.83
0.91,9.23
0.92,9.00
0.92,9.08
0.92,9.04
0.93,8.85
0.92,8.30
0.92,7.00
0.93,7.46
0.93,7.62
0.94,7.55
0.94,7.41
0.95,7.23
0.95,7.06
0.95,7.37
0.93,8.17
0.93,8.19
0.94,8.73
0.95,9.51
0.93,12.49
0.90,13.35
0.90,13.36
0.90,13.35
0.90,13.33
0.91,12.87
0.91,11.79
0.88,19.87
0.65,26.94
0.57,26.82
0.53,25.15
0.51,24.57
0.51,24.60
0.51,24.62
0.51,24.64
0.51,24.68
0.51,24.74
0.54,23.33
0.81,16.13
0.87,8.77
0.87,8.81
0.87,8.69
0.87,8.60
0.87,8.52
0.87,8.46
0.87,8.40
0.86,8.30
0.87,7.99
0.91,6.98
0.94,5.41
0.94,5.05
0.94,5.14
0.95,5.38
0.95,5.66
0.95,5.98
0.96,6.80
0.95,7.37
0.95,7.50
0.95,7.53
0.94,7.68
0.93,8.19
0.92,8.58
0.92,8.55
0.90,8.86
0.88,9.06
0.90,8.74
0.91,8.48
0.92,8.46
0.92,8.44
0.92,8.40
0.94,8.07
0.95,7.66
0.95,7.81
0.95,7.17
0.95,6.41
0.95,7.08
0.94,7.66
0.94,8.82
0.94,9.21
0.93,9.79
0.92,10.37
0.91,11.10
0.90,12.11
0.90,13.17
0.86,14.03
0.81,14.55
0.73,15.31
0.75,12.93
0.64,14.29
0.59,14.89
0.57,15.08
0.55,15.28
0.53,15.72
0.51,17.43
0.48,20.96
0.44,21.21
0.43,21.26
0.42,21.28
0.40,20.98
0.39,21.29
0.38,21.70
0.38,22.57
0.36,22.98
0.35,23.80
0.42,25.45
0.39,20.46
0.31,20.34
0.31,19.89
0.32,19.80
0.32,19.71
0.34,19.28
0.32,19.73
0.41,23.00
0.41,22.44
0.41,22.38
0.41,22.24
0.42,22.43
0.41,22.71
0.42,22.82
0.43,22.57
0.44,22.24
0.43,21.73
0.47,22.64
0.48,22.61
